title	description
Mean Dreams	Desperate to start a new life with his girlfriend, a teenage boy steals drug money from her father, who happens to be the town's corrupt lawman.
Mean Streets	In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler.
Molang	An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world.
Next	Las Vegas magician Cris can see a few minutes into the future and an FBI agent wants his help thwarting a nuclear attack.
Nights in Rodanthe	When a hurricane hits a coastal North Carolina inn and strands the only guest, surgeon Paul Flanner, a young woman's life changes forever.
NOVA: Bird Brain	Scientists test avian aptitude and challenge concepts of intelligence with examples ranging from puzzle-solving crows to parrots with a sense of time.
NOVA: Black Hole Apocalypse	Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race.
NOVA: Building Chernobyl's MegaTomb	Thirty years after Chernobyl’s nuclear disaster, engineers race against time to complete a new dome to contain the reactor’s lethal radiation.
NOVA: Chinese Chariot Revealed	The chariot dominated Chinese warfare for millennia. Now, a team of experts is building their own and unlocking its many secrets.
NOVA: Day the Dinosaurs Died	Drilling into the impact crater of the asteroid that wiped out the dinosaurs, a group of scientists unearths new evidence about the catastrophic event.
NOVA: Death Dive to Saturn	After decades of amazing discoveries, spacecraft Cassini embarks on its final – and most daring – mission: a dive below Saturn’s rings.
NOVA: Decoding the Weather Machine	Scientists investigate Earth’s climate machine, looking for clues across the globe, from Greenland’s ice sheet to the desert of Australia.
NOVA: Eclipse Over America	Scientists reveal how the 2017 solar eclipse provided new clues into how the sun works, from its scorching atmosphere to its deadly solar storms.
NOVA: Extreme Animal Weapons	From huge tusks to giant horns, some animals sport weaponry that’s larger than life. Researchers explain the science behind this biological arms race.
NOVA: First Face of America	During risky expeditions in an underwater cave, scientists unearth a 13,000-year-old skeleton to gain insight into the earliest known humans in America.
NOVA: Holocaust Escape Tunnel	At a former Nazi execution site in Lithuania, an international team of archaeologists searches for a lost escape tunnel dug by Jewish prisoners.
NOVA: Killer Floods	Scientists search for evidence left behind by the world’s greatest floods and predict if climate change will cause even greater aquatic disasters.
NOVA: Killer Hurricanes	Scientists research the world’s deadliest hurricane, trying to understand what this 18th-century storm could tell us about our own future.
NOVA: Killer Volcanoes	Evidence of a mysterious medieval famine leads researchers on a quest for one of the deadliest volcanoes in human history.
NOVA: Poisoned Water	This documentary details how the water disaster in Flint, Michigan happened, its lasting effects, and the lengthy efforts it took to correct it.
NOVA: Prediction by the Numbers	With the science of forecasting flourishing, this documentary explores how predictions inform our lives and statistics and algorithms' reliability.
NOVA: Secrets of the Shining Knight	A master armorer and his team recreate parts of a knight's medieval armor and test its strength while rediscovering centuries-old metalworking secrets.
NOVA: Thai Cave Rescue	An international team of rescue workers race to save 12 young soccer players and their coach trapped in a flooded cave in Thailand.
NOVA: The Impossible Flight	Two adventurous pilots attempt to fly around the world without using any fuel, relying only on the power of the sun.
Nova: Ultimate Mars Challenge	With access to the scientists and engineers responsible for the Curiosity rover's on-the-ground experiments, NOVA captures its landing on Mars.
Paul Blart: Mall Cop	An overzealous security guard finds himself in over his head when he tries to thwart a criminal mastermind's plot to rob an entire shopping mall.
Philadelphia	Philadelphia attorney Andrew Beckett launches a wrongful termination suit against his law firm when they fire him because he's gay and HIV-positive.
Rabbids Invasion	Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!
Race to Witch Mountain	A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.
Rain Man	A fast-talking yuppie is forced to slow down when he meets the brother he never knew he had, an unusually gifted autistic savant named Raymond.
Record of Grancrest War	Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.
Room on the Broom	A gentle witch with a ginger braid offers rides to a variety of animals on her increasingly crowded broom, much to her grumpy cat's chagrin.
Scream 3	This installment of the tongue-in-cheek horror franchise finds Sidney Prescott once again battling a crazed killer – this time, on a movie set.
Shorts	Chaos erupts when locals learn that an 11-year-old boy has discovered a mysterious rock that grants the wishes of whoever possesses it.
Soul to Keep	Two siblings invite friends to their inherited, remote country home, but the fun stops when the group summons a demonic force from an old spellbook.
Starsky & Hutch	New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.
Stone Age	Woody sets out to become the Stone Age's best animal trainer with a little help from his faithful pet dinosaur, Moga.
Swiped	When two college roommates develop a groundbreaking hookup app, casual affairs – and complications – soon run rampant on campus.
Swordfish	Determined to get his mitts on $9 billion in a secret DEA account so he can fight terrorism, a rogue agent recruits an encryption expert to hack in.
Taxi Driver	Enraged by New York's moral rot and urban decay, an unhinged cab driver goes mad, plotting an assassination and saving a teen sex worker.
Tayo the Little Bus	As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.
Tayo the Little Bus Movie: Mission Ace	After he loses his favorite racing car, Duri ventures to a mysterious, magical land filled with toys that have been thrown away.
The Accountant of Auschwitz	Decades after WWII, a former SS officer stands trial in his native Germany after being charged for his complicity in the murder of Jews at Auschwitz.
The Book of Eli	Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.
The Brothers Grimm	Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.
The Forbidden Kingdom	Jackie Chan and Jet Li star in this rousing adventure about a martial arts movie fan who finds a mystical staff that transports him to ancient China.
The In-Laws	Daredevil secret agent and father of the groom Steve gives conservative podiatrist and father of the bride Jerry prenuptial jitters when they meet.
The Pink Panther	Bumbling Inspector Clouseau must solve the murder of a world-famous soccer coach and catch the thief who stole his priceless diamond ring.
Titipo Titipo	Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
War Against Women	Filmed over three years in 10 countries, this documentary gives voice to the women who have become victims of sexual violence as weapons of war.
Who's That Knocking at My Door?	A woman's revelation that she was once raped sends her boyfriend, a reformed street thug, into an emotional and spiritual tailspin.
Zombie Dumb	While living alone in a spooky town, a young girl befriends a motley crew of zombie children with diverse personalities.
Inhuman Kiss	A teenage girl is caught between the affections of two childhood friends while battling the bloodthirsty demon inside of her that manifests at night.
Madam Secretary	When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family.
Night Moves	A pair of young environmentalists enlist the help of an ex-military explosives expert to carry out a dangerous act of eco-terrorism.
Romeo Akbar Walter	In 1971, a fallen army major’s son is tapped by India's Research and Analysis Wing to serve as an undercover agent in Pakistan in the lead-up to war.
Scare Tactics	This ghoulish but hilarious hidden-camera show from Syfy finds mischievous friends and family members setting up unsuspecting victims for elaborate pranks that use high-quality makeup and special effects to unleash their worst fears upon them.
Pierre Jackson	In the midst of ann arduous divorce battle, a real estate tycoon opts for a life of partying and sex until feelings for his childhood friend surface.
Super Deluxe	Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past.
20th Century Women	In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.
7SEEDS	Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.
Dope	Filmed from the perspectives of dealers, users and the police, this vivid series offers a bracing look at the war on drugs.
El testigo	Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.
Exhibit A	This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.
Family Business	After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.
Instant Hotel	Teams of Australian homeowners compete for the title of best Instant Hotel by staying overnight in each other's rentals and rating their experience.
La Leyenda del Diamante	When a gun-toting rebel tries to rescue her kidnapped sister, she finds herself up against a widely feared desperado and a cursed guardian of treasure.
Motown Magic	Imaginative boy Ben transforms his city by bringing colorful street art to life, armed with a magic paintbrush – and the classic sounds of Motown.
Paquita Salas	One of Spain's best talent agents in the '90s, Paquita now finds herself searching desperately for new stars after suddenly losing her biggest client.
Staged Killer	After a popular morning television host bumps into an old acquaintance with a dark past, her professional and personal lives begin to unravel.
Super Bheem	In this 3D-animated spinoff from the Chhota Bheem series, valiant superhero Bheem goes beyond his village to fight the good fight across the universe.
Tales of the City (1993)	In 1976, naive Mary Ann Singleton moves to San Francisco and finds a new family in her bohemian landlady and the eclectic residents at 28 Barbary Lane.
The Chosen One	Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.
ANIMA	In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.
Answer for Heaven	An angel falls to earth to investigate why humans are doing fewer good deeds – and falls in with a hard-charging crime reporter and his news team.
Daniel Sosa: Maleducado	"In his second stand-up special, Daniel Sosa reminisces about his childhood, ponders Mexican traditions and points out a major problem with ""Coco."""
Slasher	Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
Hikaru Utada Laughter in the Dark Tour 2018	Celebrating twenty years since her debut, Hikaru Utada takes the stage at Makuhari Messe for the final performance of her Laughter in the Dark Tour.
Kahaani	Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.
Spider-Man: Into the Spider-Verse	After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.
The Golem	As sickness spreads throughout the countryside, an infertile woman conjures a living child out of clay and sets it loose on her enemies.
Unbroken	After the brutal murders of their loved ones, three individuals share how they healed through forgiveness in this documentary presented by Aamir Khan.
Mike Epps: Only One Mike	In a raw stand-up comedy special, Mike Epps mixes it up as he tackles sexual misconduct, special ed, aging body parts and much more.
Recall	Struggling to move on from a heartbreaking loss, Mikey is drawn into a dangerous underworld robbery orchestrated by his unreliable stepbrother Dale.
Tottaa Pataaka Item Maal	Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi.
Forest of Piano	Kai grows up playing an old piano discarded in the woods
The Long Goodbye: The Kara Tippetts Story	Faced with terminal breast cancer, a courageous wife and mother turns her suffering into a resilient message of faith, love and compassion.
Salem: His Sister's Father	A street vendor's simple life is turned upside down after the Egyptian revolution of 2011, forcing him to contend with criminals and cops alike.
Triple Threat	A crew of ruthless criminals hired to kill an influential heiress meet their match in a trio of surprisingly adept fighters who come to her aid.
Blood Will Tell	Family patriarch Elías begins to unravel after the death of his wife – which casts a suspicious light on her tragic accident.
Bolívar	This dramatization depicts the life – and loves – of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.
Dark	A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.
EVANGELION: DEATH (TRUE)²	Fifteen years after the Second Impact, apathetic teen Shinji joins his father's group NERV to fight the Angels. But the truth may destroy them all.
Girls Incarcerated	Fights, friendships, dating, rules. Teenage life is full of drama. But behind bars, the stakes are so much higher.
Go! Live Your Way	Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter.
Good Luck	Seeking an apartment to share with his wife, an apolitical man starts to question his own modest goals as revolution swirls around him.
Magi: The Labyrinth of Magic	A land of mysterious ruins and a magical treasure hunt await young Aladdin and his courageous friend Alibaba for the adventure of their lives.
Melodies of Life - Born This Way	A celebrated pastry chef and his fellow staff members at a bake shop embark on bittersweet adventures in love, work and friendship.
Mr. Iglesias	Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater.
Neon Genesis Evangelion	Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels.
Roonpi Secret Love	High school senior Belle pursues a shy junior boy. Dog-phobic Emma meets a handsome veterinary student. Baking blogger Mielle falls for her critic.
Shooter	A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder.
The Casketeers	Māori funeral directors Francis and Kaiora Tipene and staff temper good humor with care and respect as they help Polynesian families cope with loss.
The Confession Tapes	This true crime documentary series investigates cases where people convicted of murder claim their confessions were coerced, involuntary or false.
The End of Evangelion	Seele orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can trigger Third Impact and Instrumentality under his control.
An Upper Egyptian	Eager to settle down, Abdullah searches for the right woman to marry – but the one he truly longs for may not feel the same way.
Bewildered Bolbol	A man suffering from amnesia can't seem to choose between the women playing tricks on him.
Rakkhosh	An asylum patient’s troubled past threatens his grasp on reality as fellow hospital residents begin disappearing at the hands of an unknown entity.
Reaction	When a series of seemingly random people are murdered, baffled police search for a killer who may have a connection to them all.
The Chord	A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions.
The Player	To save his father’s company from bankruptcy, a rich, spoiled playboy is forced to wed a no-nonsense woman, who's just as unhappy to be marrying him.
The Wolf's Call	With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem – or sound – using only his ears.
Three-Quarters Decent	Determined to fight corruption in his country, a newspaper cartoonist debuts a new take-no-prisoners attitude.
Unruly Friends	A young woman discovers that familial and psychological traumas can be difficult to leave behind.
Beats	On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor.
Memory Games	Glimpse into the brain's vast potential for memorization through the eyes of four competitive memory athletes as they share techniques and insights.
Running for Grace	In 1920s Hawaii, a young man of mixed race and the daughter of a white plantation owner must overcome racial and class prejudice to be together.
The Edge of Democracy	Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.
VS.	A young man in foster care finds his voice in the underground rap battle scene. But when his mother returns, a lifetime of pain comes with her.
Adam Devine: Best Time of Our Lives	"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha."
Antariksha Ke Rakhwale	Space villains have abducted all the superheroes! It’s up to Bheem and his trusty team to save the others.
Big Kill	A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
Bob Lazar: Area 51 & Flying Saucers	Decades ago, Bob Lazar blew the whistle on Area 51. Now he’s back to explain the alien tech he worked with, and the government's war to shut him up.
Dragonkala Ka Rahasya	Bheem helps to reopen Dragonpur's abandoned magic and martial arts school, but is tested like never before when an ex-student returns seeking revenge!
Samudri Lootere	The king’s ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?
Super Bheem Bana Vajraveer	Hoping to find a magical root, a monster has captured farmers in the land of Vyom. It’s up to Bheem and the gang to foil his plan and save the kingdom!
The Wrong Babysitter	A widow searches for her missing teenage daughter, not knowing that her seemingly helpful neighbor is hiding a terrible secret.
Cop Car	Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officer’s cruiser.
Right Here Right Now	The owner of a failing music club throws one last blowout, bringing together friends, foes and hard-partying weirdos for an unhinged New Year's Eve.
3 Seconds Divorce	A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.
Charité at War	In 1943, the staff at Berlin's Charité hospital struggle against the effects of World War II and the Nazi regime, including eugenic medical practices.
Fate/Zero	After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins.
Grey's Anatomy	Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.
Kill la Kill	"The ""woman with the scissor blade"" – Ryuko Matoi – searches for clues all around the world for the truth behind her father's death."
Life Overtakes Me	In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome.
Luckee	When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones.
Monopoly (The Bank Of Luck)	Seeking revenge on his employer, a lazy bank agent and his two dim-witted friends concoct an elaborate but flawed heist.
Pihu	A two-year-old must fend for herself when her mother suddenly passes away while her father is gone for a conference, leaving her prone to danger.
Puella Magi Madoka Magica	One day, Madoka Kaname has a very magical encounter, one that can change her destiny. This is the beginning of the new story of magical witch girls.
Somewhere Only We Know	A language major bickers with – and falls for – a doctoral student as she navigates the ups and downs of love and friendship with college classmates.
The Alcàsser Murders	New interviews and an up-to-date analysis of evidence shed light on the 1992 murders of three girls in Spain and their profound impact on the nation.
Unit 42	A widowed cop tapped to lead a special cybercrimes unit teams up with a former hacker to hunt down tech-savvy criminals who are terrorizing Belgium.
Aggretsuko	Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.
Awake: The Million Dollar Game	Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize.
Black Spot	A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.
DJ Cinderella	Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix.
El desconocido	Based on real events, the fictional story of Mexican drug lord El Chato's number one hitman, El Cholo.
Girlfriends' Guide to Divorce	After the world learns the truth about her failing marriage, a successful self-help author tries to salvage her career and find her way as a divorcée.
Leila	In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.
Marlon	After the friendliest divorce ever, a carefree but devoted father navigates post-split parenting life with his levelheaded ex-wife and two kids.
Marvel's Jessica Jones	Haunted by a traumatic past, Jessica Jones uses her gifts as a private eye to find her tormentor before he can harm anyone else in Hell's Kitchen.
Murder Mystery	On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.
Trinkets	A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.
Yankee	On the run from the police, an Arizona man crosses into Mexico and gets deeply involved in drug trafficking – with the help of modern technology.
Convict	Sentenced to death for committing rape, a convict navigates his final trying days alongside his allies and enemies in prison.
Flimflam	Nosy family in tow, a fun-loving bachelor goes on a romantic getaway, but he ends up pretending to be married to a complete stranger to avoid trouble.
Jinn	On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground.
Kakegurui	High roller Yumeko Jabami plans to clean house at Hyakkaou Private Academy, a school where students are evaluated solely on their gambling skills.
Oprah Presents When They See Us Now	"Oprah Winfrey talks with the exonerated men once known as the Central Park Five, plus the cast and producers who tell their story in ""When They See Us."""
Savage Raghda	Desperate to support his son, a single father uses his talent with makeup to dress up as a woman to try out for a part in a commercial.
The 3rd Eye 2	Working in an orphanage, Alia meets teen Nadia, who says she hears a strange voice in the walls. When they try to find the source, things go very wrong.
The Ant's Scream	Released after being wrongly imprisoned in Iraq, an Egyptian contractor returns home to a country on the brink of revolution.
The Cell	A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.
The Right One	Under pressure to marry, a rich playboy is conflicted between four women who each possess a different quality he desires in his ideal wife.
Jo Koy: Comin' In Hot	Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more.
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese	In an alchemic mix of fact and fantasy, Martin Scorsese looks back at Bob Dylan's 1975 Rolling Thunder Revue tour and a country ripe for reinvention.
Ralph Breaks the Internet: Wreck-It Ralph 2	When video-game bad guy Ralph and best friend Vanellope discover a way onto the internet, they set off on a mission to save her broken game.
Upin & Ipin	Two mischievous yet lovable five-year-old twins and their friends enjoy daily life and new discoveries with the residents of their Malaysian village.
Beneath the Leaves	An escaped psychopathic child killer faces off against one of his former victims, who has since become a hard-nosed detective.
Berlin, I Love You	"Set in the Grey City, this ""Cities of Love"" installment is a star-studded, 10-story collection of redemptive love, crushing loss and everyday romances."
Equilibrium	In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death.
Belmonte	An artist muddles through a midlife crisis while trying to balance his dimming career with a yearning to be a better father.
Designated Survivor	America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.
Elisa & Marcela	In 1901 Spain, Elisa Sánchez Loriga adopts a male identity in order to marry the woman she loves, Marcela Gracia Ibeas. Based on true events.
I Am Mother	Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human.
Luka Chuppi	Pretending to marry in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.
Pachamama	When a sacred statue is taken from his Andean village, a spirited boy who dreams of becoming a shaman goes on a brave mission to get it back.
Rock My Heart	After an adventurous teen with a heart defect bonds with an unruly stallion, she trains to compete as an amateur jockey in a life-threatening race.
Stree	Once a year, men in a small town fear abduction by an eccentric female spirit. A young tailor dismisses the idea of the ghost – until he falls for her.
Super Monsters Monster Pets	The adorably magical Monster Pets star in a series of short adventures that are big on fun – and full of surprises!
Tales of the City	Returning to San Francisco after a long absence, Mary Ann Singleton reunites with the community of characters at 28 Barbary Lane.
The Black Godfather	This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.
The Push	After a snowmobile accident paralyzed him, Grant Korgan became the first athlete with a spinal cord injury to push himself to the South Pole.
A Perfect Man	Nina thinks her husband, James, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman.
Alles ist gut	A woman sexually assaulted by her new boss's brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body.
Best Neighbors	A just-married couple moves into their new home, finding themselves at war with the kids next door, who seem determined to make their lives miserable.
Cabin Fever	As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next.
Christian Mingle	A career woman who has everything but romance finds her values challenged when she starts dating a good man she met on a Christian matchmaking site.
Everybody Knows	Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted.
Farce	A beauty expert, a drug dealer and a bungling revolutionary end up in the grips of an extremist group after meeting on a plane to Lebanon.
Freezer's Campaign	When climate change makes Egypt freeze over, intelligence officers pose as a film crew on location to seek a device that can eliminate the frost.
From Japan to Egypt	After his wife relocates to her home country of Japan, an Egyptian man – and father of two rambunctious kids – tries to win her back.
Immoral Tales	This anthology illustrates the timeless nature of desire in four stories of incest, bloodlust and other forbidden subjects.
It's Okay, Buddy	Two down-on-their-luck singers set out to marry wealthy women – but not everyone is happy to have them climb the social ladder.
Ms. Mammy	A successful advertising agency executive falls asleep on an airplane and wakes up in an alternate universe as a stay-at-home mom with three kids.
Sameer Abu Alneel	Disliked for his stinginess, Samir finds his life turned upside down when he receives a windfall and launches a television channel.
Step Outside	A down-on-his-luck man reads a book, only to have its characters materialize and take over his life.
The Republic of Imbaba	Living on the edges of Cairo’s Embabah neighborhood, several residents seek to better their circumstances following the January 25 Revolution.
The Thief and the Imbecile	A street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor.
A Silent Voice	A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.
Black Mirror	This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.
Dolphin Kick	After losing his mom, 10-year-old Luke abandons competitive swimming. It takes a friendly dolphin to get him back in the water – and help him heal.
Dr. Seuss' The Grinch	A grump with a mean streak plots to bring Christmas to a halt in the cheerful town of Whoville. But a generous little girl could change his heart.
Jiro Dreams of Sushi	This documentary profiles sushi chef Jiro Ono, an 85-year-old master whose 10-seat, $300-a-plate restaurant is legendary among Tokyo foodies.
Would You Rather	In need of cash to help her sick brother, a young woman agrees to take part in a lethal winner-takes-all parlor game hosted by a sadistic millionaire.
Cosmos Laundromat: First Cycle	Despondent on a desolate island, a suicidal sheep is thrown a lifeline by a quirky salesman, who offers him the gift of a lifetime.
Miranda Sings Live…Your Welcome	"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry."""
Silent	"""Silent"" is an animated short film created by Academy Award® winning Moonbot Studios. It celebrates how storytellers, inventors, and technology work together to create cinema magic."
The Men Who Stare at Goats	"A journalist latches onto an unbelievable story in Iraq when he meets Lyn, a man of mysterious origins who reveals he was a ""warrior monk."""
Documentary Now!	"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line."""
Dynasty	The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.
Malibu Rescue: The Series	On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs.
Arthdal Chronicles	In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society.
Good Night, and Good Luck	Veteran television newsman Edward R. Murrow faces off against Sen. Joseph McCarthy and his crusade to quell the threat of communism in America.
Krutant	When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life.
The Duel	In 1866, a Texas Ranger investigates some suspicious deaths in a town ruled by a religious despot whose past contains a disturbing link to his own.
#Selfie	Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.
#Selfie 69	After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.
10,000 B.C.	Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
50/50	An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.
A Thousand Goodnights	To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.
Bullitt County	When four college friends reunite for a bachelor party, their hunt for cash said to be hidden in Kentucky's backwoods leads to bloodshed and betrayal.
Carrie	"An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom."
Falsa identidad	Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
Herrens veje	A family with a storied history of service to the Church of Denmark fractures under the tyrannical rule and ambition of its hard-driving patriarch.
III Smoking Barrels	In three stories set in Northeast India, a child goes on the run, a young adult falls in with the wrong crowd and a desperate man turns to crime.
Life in the Doghouse	A couple operates a bustling dog rescue out of their own home, vowing to give a safe space to the neediest pups on the planet – 10,000 and counting.
Love Is a Story	Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime.
March Comes in Like a Lion	Orphaned young, a reclusive 17-year-old professional shogi player starts to come out of his shell when three sisters take him under their wing.
Oh, Ramona!	Awkward 16-year-old Andrei is infatuated with his alluring but aloof schoolmate Ramona – until he meets stunning hotel clerk Anemona while on vacation.
Prosecuting Evil: The Extraordinary World of Ben Ferencz	A gripping profile of Ben Ferencz, the last surviving lead prosecutor at the Nuremberg trials whose lifelong desire for justice altered the rule of law.
Righteous Kill	Two detectives investigate a rash of vigilante killings linked to an old case, suggesting they might have put an innocent man behind bars.
Satan & Adam	An aging blues guitarist and a grad student form an unlikely duo while busking on the street corners of 1980s Harlem.
Small Soldiers	When the Commando Elite, a group of toy action figures, are released before they've been tested, they attack the children playing with them.
The Box	A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger.
The Phantom of the Opera	In 1870, a disfigured recluse roams beneath a Parisian opera house and takes under his wing a young soprano, with whom a love triangle develops.
The Space Between Us	After years of limited contact with Earth, an inquisitive teen who lives on Mars makes an interplanetary trek to discover his own origins.
Then Came You	A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.
We Are Legends	Raised in a boxing gym, two orphaned brothers become highly skilled martial artists and must combat threats in the streets and the ring.
What a Girl Wants	In search of the father she's never met, the daughter of a bohemian American woman heads to Europe and finds that her dad is an uptight politician.
Always Be My Maybe	Reunited after 15 years, famous chef Sasha and hometown musician Marcus feel the old sparks of attraction but struggle to adapt to each other's worlds.
Bad Blood	This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.
